CA 1.9080 0.0860 1.70 0.72 
CM 1.9080 0.0860 1.77 0.72 
Cs 3.3950 0.0000806 1.77 0.72 
C  1.9080 0.0860 1.70 0.72 
CC 1.9080 0.0860 1.77 0.72 
CV 1.9080 0.0860 1.77 0.72 
CW 1.9080 0.0860 1.77 0.72 
CR 1.9080 0.0860 1.77 0.72 
CB 1.9080 0.0860 1.77 0.72 
C_ 1.9080 0.0860 1.77 0.72 
CN 1.9080 0.0860 1.77 0.72 
CK 1.9080 0.0860 1.77 0.72 
CQ 1.9080 0.0860 1.77 0.72 
CT 1.9080 0.1094 1.70 0.72 
F  1.7500 0.061 1.40 0.88 
H  0.6000 0.0157 1.20 0.85 
H1 1.3870 0.0157 1.20 0.85 
H2 1.2870 0.0157 1.20 0.85 
H3 1.1870 0.0157 1.20 0.85  
H4 1.4090 0.0150 1.00 0.85 
H5 1.3590 0.0150 1.00 0.85 
HA 1.4590 0.0150 1.20 0.85 
HC 1.4870 0.0157 1.20 0.85 
HO 0.0000 0.0000 1.20 0.85 
HP 1.1000 0.0157 1.20 0.85 
HS 0.6000 0.0157 1.20 0.85 
HW 0.0000 0.0000 1.20 0.85
IP 1.8680 0.00277 2.01 0.00277
K  2.6580 0.000328 0.00 0.000328
Li 1.1370 0.0183 0.00 0.0183
N  1.8240 0.1700 1.55 0.79
NA 1.8240 0.1700 1.55 0.79
NB 1.8240 0.1700 1.55 0.79
NC 1.8240 0.1700 1.55 0.79
N_ 1.8240 0.1700 1.55 0.79
N2 1.8240 0.1700 1.55 0.79
N3 1.8750 0.1700 1.55 0.79
O  1.6612 0.2100 1.50 0.75
O2 1.6612 0.2100 1.50 0.75
OH 1.7210 0.2104 1.50 0.75
OS 1.6837 0.1700 1.50 0.75
OW 1.7683 0.1520 1.50 0.75
P  2.1000 0.2000 1.80 0.66 
Rb 2.9560 0.00017 0.00 0.00017
S  2.0000 0.2500 1.80 0.96
SH 2.0000 0.2500 1.80 0.96
****************************************************************************************









