C  CA 469.0 1.409
C  CB 447.0 1.419
C  CM 410.0 1.444
C  CT 317.0 1.522
C  N  490.0 1.335
C  N_ 424.0 1.383
C  NA 418.0 1.388
C  NC 457.0 1.358
C  O  570.0 1.229
C  O2 656.0 1.250
C  OH 450.0 1.364
C_ CB 388.0 1.459
C_ CT 317.0 1.495
C_ CW 546.0 1.352
C_ HC 367.0 1.080
CA CA 469.0 1.400
CA CB 469.9 1.404
CA CM 427.0 1.433
CA CN 469.0 1.400
CA CT 317.0 1.510
CA H4 367.0 1.080
CA HA 367.0 1.080
CA N2 481.0 1.340
CA NA 427.0 1.381
CA NC 483.0 1.339
CB CB 520.0 1.370
CB CN 447.0 1.419
CB N_ 436.0 1.374
CB NB 414.0 1.391
CB NC 461.0 1.354
CC CT 317.0 1.504
CC CV 512.0 1.375
CC CW 518.0 1.371
CC NA 422.0 1.385
CC NB 410.0 1.394
CK H5 367.0 1.080
CK N_ 440.0 1.371
CK NB 529.0 1.304
CM CM 549.0 1.350
CM CT 317.0 1.510
CM H4 367.0 1.080
CM H5 367.0 1.080
CM HA 367.0 1.080
CM N_ 448.0 1.365
CN NA 428.0 1.380
CQ H5 367.0 1.080
CQ NC 502.0 1.324
CR H5 367.0 1.080
CR NA 477.0 1.343
CR NB 488.0 1.335
CT CT 310.0 1.526
CT F  367.0 1.380
CT H1 340.0 1.090
CT H2 340.0 1.090
CT H3 340.0 1.090
CT HC 340.0 1.090
CT HP 340.0 1.090
CT N  337.0 1.449
CT N_ 337.0 1.475
CT N2 337.0 1.463
CT N3 367.0 1.471
CT OH 320.0 1.410
CT OS 320.0 1.410
CT S  227.0 1.810
CT SH 237.0 1.810
CV H4 367.0 1.080
CV NB 410.0 1.394
CW H4 367.0 1.080
CW NA 427.0 1.381
H  N  434.0 1.010
H  N_ 434.0 1.010
H  N2 434.0 1.010
H  N3 434.0 1.010
H  NA 434.0 1.010
HO OH 553.0 0.960
HO OS 553.0 0.960
HS SH 274.0 1.336
O2 P  525.0 1.480
OH P  230.0 1.610
OS P  230.0 1.610
OW HW 553.0 0.9572
S  S  166.0 2.038
***********************************************************************************************








