C  CA CA 63.000 120.00
C  CA HA 35.000 120.00
C  CB CB 63.000 119.20
C  CB CN 70.000 130.00
C  CM CM 63.000 120.70
C  CM H4 35.000 119.70
C  CM HA 35.000 119.70
C  CT CT 63.000 111.10
C  CT H1 50.000 109.50
C  CT HC 50.000 109.50
C  CT HP 50.000 109.50
C  CT N  63.000 110.10
C  CT N3 80.000 111.20
C  N  CT 50.000 121.90
C  N  H  30.000 120.00
C  N_ CM 70.000 121.60
C  N_ CT 70.000 117.60
C  N_ H  30.000 119.20
C  NA C  70.000 126.40
C  NA CA 70.000 125.20
C  NA H  30.000 116.80
C  NC CA 70.000 120.50
C  OH HO 35.000 113.00
C_ CB CA 63.000 134.90
C_ CB CN 63.000 108.80
C_ CT CT 63.000 115.60
C_ CT HC 50.000 109.50
C_ CW H4 35.000 120.00
C_ CW NA 70.000 108.70
CA C  CA 63.000 120.00
CA C  OH 70.000 120.00
CA CA CA 63.000 120.00
CA CA CB 63.000 120.00
CA CA CN 63.000 120.00
CA CA CT 70.000 120.00
CA CA H4 35.000 120.00
CA CA HA 35.000 120.00
CA CB CB 63.000 117.30
CA CB CN 63.000 116.20
CA CB NB 70.000 132.40
CA CM CM 63.000 117.00
CA CM H4 35.000 123.30
CA CN CB 63.000 122.70
CA CN NA 70.000 132.80
CA CT CT 63.000 114.00
CA CT HC 50.000 109.50
CA N2 CT 50.000 123.20
CA N2 H  35.000 120.00
CA NA H  30.000 118.0
CA NC CB 70.000 112.20
CA NC CQ 70.000 118.60
CB C  NA 70.000 111.30
CB C  O  80.000 128.80
CB C_ CT 70.000 128.60
CB C_ CW 63.000 106.40
CB CA H4 35.000 120.00
CB CA HA 35.000 120.00
CB CA N2 70.000 123.50
CB CA NC 70.000 117.30
CB CN N_ 70.000 106.20
CB CB NB 70.000 110.40
CB CB NC 70.000 127.70
CB CN NA 70.000 104.40
CB N_ CK 70.000 105.40
CB N_ CT 70.000 125.80
CB N_ H  30.000 125.80
CB NB CB 70.000 103.80
CB NC CQ 70.000 111.00
CC CT CT 63.000 113.10
CC CT HC 50.000 109.50
CC CV H4 35.000 120.00
CC CV NB 70.000 120.00
CC CW H4 35.000 120.00
CC CW NA 70.000 120.00
CC NA CR 70.000 120.00
CC NA H  30.000 120.00
CC NB CR 70.000 117.00
CK N_ CT 70.000 128.80
CK N_ H  30.000 128.80
CM C  NA 70.000 114.10
CM C  O  80.000 125.30
CM CA N2 70.000 120.10
CM CA NC 70.000 121,50
CM CM CT 70.000 119.70
CM CM H4 35.000 119.70
CM CM HA 35.000 119.70
CM CM N_ 70.000 121.20
CM CT HC 50.000 109.50
CM N_ CT 70.000 121.20
CM N_ H  30.000 121.20
CN CA HA 35.000 120.00
CN NA CW 70.000 111.60
CN NA H  30.000 123.10
CN NA CW 70.000 120.00
CR NA H  30.000 120.00
CR NB CV 70.000 117.00
CT C  N  70.000 116.60
CT C  O  80.000 120.40
CT C  O2 70.000 117.00
CT C_ CW 70.000 125.00
CT CC CV 70.000 120.00
CT CC CW 70.000 120.00
CT CC NA 70.000 120.00
CT CC NB 70.000 120.00
CT CT CT 40.000 109.50
CT CT H1 50.000 109.50
CT CT H2 50.000 109.50
CT CT HC 50.000 109.50
CT CT HP 50.000 109.50
CT CT N  80.000 109.70
CT CT N_ 50.000 109.50
CT CT N2 80.000 111.20
CT CT N3 80.000 111.20
CT CT OH 50.000 109.50
CT CT OS 50.000 109.50
CT CT S  50.000 114.70
CT CT SH 50.000 108.60
CT N  CT 50.000 118.00
CT N  H  30.000 118.04
CT N2 H  35.000 118.40
CT N3 H  50.000 109.50
CT OH HO 55.000 108.50
CT OS CT 60.000 109.50
CT OS P  100.00 120.50
CT S  CT 62.000 98.900
CT S  S  68.000 103.70
CT SH HS 43.000 96.000
CV CC NA 70.000 120.00
CW CC NA 70.000 120.00
CW NA H  30.000 120.00
F  CT F  77.000 109.10
F  CT H1 35.000 109.50
H  N  H  35.000 120.00
H  N2 H  35.000 120.00
H  N3 H  35.000 109.50
H1 CT H1 35.000 109.50
H1 CT N  50.000 109.50
H1 CT N_ 50.000 109.50
H1 CT N2 50.000 109.50
H1 CT OH 50.000 109.50
H1 CT OS 50.000 109.50
H1 CT S  50.000 109.50
H1 CT SH 50.000 109.50
H2 CT H2 35.000 109.50
H2 CT OS 50.000 109.50
H4 CM N_ 35.000 119.10
H4 CV NB 35.000 120.00
H4 CW NA 35.000 120.00
H5 CK N_ 35.000 123.05
H5 CK NB 35.000 123.05
H5 CQ NC 35.000 115.45
H5 CR NA 35.000 120.00
H5 CR NB 35.000 120.00
HC CT HC 35.000 109.50
HO OH P  45.000 108.50
HP CT HP 35.000 109.50
HP CT N3 50.000 109.50
HS SH HS 35.000 92.07
HW OW HW 100.00 104.52
N  C  O  80.000 122.90
N_ C  NA 70.000 115.40
N_ C  NC 70.000 118.60
N_ C  O  80.000 120.90
N_ CB NC 70.000 126.20
N_ CK NB 70.000 113.90
N_ CT OS 50.000 109.50
N2 CA N2 70.000 120.00
N2 CA NA 70.000 116.00
N2 CA NC 70.000 119.30
NA C  O  80.000 120.60
NA CA NC 70.000 123.30
NA CR NA 70.000 120.00
NA CR NB 70.000 120.00
NC C  O  80.000 122.50
NC CQ NC 70.000 122.50
O  C  O  80.000 126.00
O2 C  O2 80.000 126.00
O2 P  O2 140.00 119.90
O2 P  OH 45.000 108.23
O2 P  OS 100.00 108.23
OH P  OS 45.000 102.60
OS P  OS 45.000 102.60
P  OS P  100.00 120.50
**************************************************************************************












